aguardando geracao em andamento... 2026-08-06T21:12:51-03:00
=== ARM granite4:latest -> G0-granite4  inicio 2026-08-06T21:13:21-03:00
Terminated
=== ARM granite4:latest fim rc=143 2026-08-06T21:13:22-03:00
=== ARM qwen3.5:9b -> G0-qwen3.5-9b  inicio 2026-08-06T21:13:42-03:00
01   9987ms  69.4 tok/s cit=0.75 nao_cobre=True
02   1875ms  72.2 tok/s cit=0.5 nao_cobre=True
03   2532ms  70.3 tok/s cit=1.0 nao_cobre=False
04   4294ms  50.5 tok/s cit=1.0 nao_cobre=False
05   4398ms  56.0 tok/s cit=1.0 nao_cobre=False
06   3276ms  56.7 tok/s cit=1.0 nao_cobre=False
07   6165ms  56.1 tok/s cit=1.0 nao_cobre=False
08   4282ms  56.5 tok/s cit=1.0 nao_cobre=False
09   4873ms  56.5 tok/s cit=1.0 nao_cobre=False
10   3865ms  55.9 tok/s cit=0.333 nao_cobre=True
11   2795ms  58.8 tok/s cit=0.5 nao_cobre=True
12   3098ms  56.7 tok/s cit=0.5 nao_cobre=False
13   3812ms  54.5 tok/s cit=1.0 nao_cobre=False
14   3826ms  56.7 tok/s cit=1.0 nao_cobre=False
15   6095ms  52.8 tok/s cit=1.0 nao_cobre=False
16   3202ms  56.3 tok/s cit=1.0 nao_cobre=False
17   4207ms  56.5 tok/s cit=1.0 nao_cobre=False
18   6045ms  56.2 tok/s cit=0.8 nao_cobre=False
19   4492ms  56.1 tok/s cit=1.0 nao_cobre=False
20   2760ms  58.2 tok/s cit=1.0 nao_cobre=False
21   4328ms  56.5 tok/s cit=1.0 nao_cobre=False
22   3486ms  56.7 tok/s cit=0.5 nao_cobre=False
23   4207ms  56.5 tok/s cit=1.0 nao_cobre=False
24   5842ms  56.1 tok/s cit=1.0 nao_cobre=False
25   3868ms  46.8 tok/s cit=1.0 nao_cobre=False
26   4505ms  56.4 tok/s cit=1.0 nao_cobre=False
27   3982ms  56.5 tok/s cit=1.0 nao_cobre=False
28   2418ms  59.0 tok/s cit=0.0 nao_cobre=True
29   3648ms  56.5 tok/s cit=0.5 nao_cobre=True
30   3554ms  48.3 tok/s cit=0.5 nao_cobre=True
31   3632ms  56.6 tok/s cit=1.0 nao_cobre=False
32   4600ms  50.5 tok/s cit=1.0 nao_cobre=False
33   4260ms  56.0 tok/s cit=1.0 nao_cobre=False
34   3311ms  56.7 tok/s cit=1.0 nao_cobre=False
OK qwen3.5:9b: 34 sondas em /home/claudinho/AI/platafirma-harness/avaliacao/gold-set-firmabot/resultados/G0-qwen3.5-9b
=== ARM qwen3.5:9b fim rc=0 2026-08-06T21:16:04-03:00
=== ARM gemma4:12b -> G0-gemma4-12b  inicio 2026-08-06T21:16:24-03:00
01  19907ms  43.6 tok/s cit=0.0 nao_cobre=True
02  13529ms  45.5 tok/s cit=0.0 nao_cobre=True
03  13456ms  45.0 tok/s cit=0.833 nao_cobre=False
04  15623ms  44.9 tok/s cit=0.8 nao_cobre=False
05  13877ms  44.9 tok/s cit=1.0 nao_cobre=False
06  12706ms  45.0 tok/s cit=1.0 nao_cobre=False
