obra_id,referencia,titulo_no_acervo,dominio_ou_cadeira,propoe_conceito
(ausente),"ABERS, R. N. (2019)",,NAO ESTA NO ACERVO,aquisicao pendente
(ausente),ABERS; KECK (2013),,NAO ESTA NO ACERVO,aquisicao pendente
d7826631-5983-4ae9-8f4c-f1e0f2a8b82b,ABRUCIO (1997),O impacto do modelo gerencial na Administração Pública: um breve estudo sobre a experiência internacional recente,capacidade-estatal,cadeira vencedora
84ee87ce-3cb8-4807-8c6e-33171aa8ed6e,ANDREWS; PRITCHETT; WOOLCOCK (2017),Building State Capability,capacidade-estatal,cadeira vencedora
aa5d0cda-3a60-4f2c-b28f-0a17f2d450c7,ANDREWS; PRITCHETT; WOOLCOCK (2017),"Fichamento: Andrews, Pritchett & Woolcock — Building State Capability",capacidade-estatal,cadeira vencedora
fdda4108-8a68-4599-b2ae-9dcdc8ce4738,BALDWIN; CLARK (2000),"Design Rules, Vol. 1",claudinho-arquiteto,dono
9d2fa613-0508-41c8-aab2-57f0f4844456,BRESSER-PEREIRA (2000),Uma reforma gerencial da administração pública no Brasil,capacidade-estatal,cadeira vencedora
3c66afe9-b83f-4b6b-aafd-b4ea658d446d,BUSINESS ARCHITECTURE GUILD (2022),BIZBOK Guide,claudinho-arquiteto,dono
de20eac2-0bd8-499d-8bea-24321069a811,COHEN; LEVINTHAL (1990),Absorptive Capacity: A New Perspective on Learning and Innovation,capacidade-estatal,cadeira vencedora
8ab6b294-3113-40a0-9b30-bfef4932199d,CONWAY (1968),How Do Committees Invent?,claudinha-gestao-estrategica,dono
d41d75f6-21f7-49e4-a9d4-cd84353d144c,DIMAGGIO; POWELL (1983),The Iron Cage Revisited: Institutional Isomorphism and Collective Rationality in Organizational Fields,claudinha-gestao-estrategica,dono
3cd24cc4-ad43-4bb0-b492-e9254689faa0,EVANS (2003),Domain-Driven Design,claudinho-arquiteto,dono
ac6ffd6c-935f-4f68-b22e-7585f87bdf1b,FORSGREN; HUMBLE; KIM (2018),Accelerate: The Science of Lean Software and DevOps,claudinho-TI,dono
(ausente),GOMIDE; PIRES (2014),,NAO ESTA NO ACERVO,aquisicao pendente
(ausente),HEEKS (2002),,NAO ESTA NO ACERVO,aquisicao pendente
(ausente),HEEKS (2003),,NAO ESTA NO ACERVO,aquisicao pendente
(ausente),HEEKS; MATHISEN (2012),,NAO ESTA NO ACERVO,aquisicao pendente
522be1aa-ee62-476c-b127-461bb8ce19ad,IRANI et al. (2023),The impact of legacy systems on digital transformation in European public administration: Lesson learned from a multi case analysis,capacidade-estatal,cadeira vencedora
e58327b8-7096-4226-a176-9486a8022a17,LI (2026),Metis AI: The Overlooked Middle Zone Between AI-Native and World-Movers,capacidade-estatal,cadeira vencedora
0682ba0e-18da-44c8-8742-44b893b4d5a6,MEYER; ROWAN (1977),Institutionalized Organizations: Formal Structure as Myth and Ceremony,claudinha-gestao-estrategica,dono
(ausente),NOLAN (2021),,NAO ESTA NO ACERVO,aquisicao pendente
e4eb5dc4-70e2-4239-99eb-b52786ccbf6f,NORMAN (2013),The Design of Everyday Things,claudinha-produto,dono
(ausente),RAUEN (2023),,NAO ESTA NO ACERVO,aquisicao pendente
d7e4f282-42c3-4c89-990a-0465257bf5c5,SAHAY; LEWIS (2010),Strengthening Metis Around Routine Health Information Systems in Developing Countries,capacidade-estatal,cadeira vencedora
ef89ab49-dce2-46c3-b90c-c59090dbd168,SCOTT (1998),Seeing Like a State,capacidade-estatal,cadeira vencedora
2216a203-568e-485b-b822-094fc3552cb5,SKELTON; PAIS (2019),Team Topologies,claudinha-gestao-estrategica,dono
e741e2cc-1020-4fe8-b8c1-ea73bce7669d,STAR; GRIESEMER (1989),"Institutional Ecology, 'Translations' and Boundary Objects: Amateurs and Professionals in Berkeley's Museum of Vertebrate Zoology, 1907-39",claudinho-conhecimento,dono
47d4d047-25cb-47c4-bf25-53718bcb35a6,TUNE; PERRIN (2024),Architecture Modernization,claudinho-arquiteto,dono
(ausente),VILELA-CURY et al. (2023),,NAO ESTA NO ACERVO,aquisicao pendente
8fc1db93-f373-41aa-8bcd-b2c02d7a2c44,WALSH; UNGSON (1991),Organizational Memory,claudinho-conhecimento,dono
ca7430ff-4b75-4412-96b0-5843eea60f08,WEICK (1979),The Social Psychology of Organizing — second edition,capacidade-estatal,cadeira vencedora
b8b7b002-3865-4fa9-b41c-2fc6b6acaedf,WESTRUM (2004),A typology of organisational cultures,claudinha-gestao-estrategica,dono
0c233de3-014b-4dd0-ba96-257d3b9fae93,Decreto 12.198/2024,Decreto nº 12.198/2024 — Estratégia Federal de Governo Digital 2024–2027 e Infraestrutura Nacional de Dados,capacidade-estatal,cadeira vencedora
35ca79fa-db3c-4ae0-a56c-649bc4051b0f,IN SGP-ENAP/MGI 11/2024,"Instrução Normativa SGP-ENAP/MGI nº 11, de 27 de março de 2024",capacidade-estatal,cadeira vencedora
aaad3a25-d007-4dfa-9894-4d1de1bc3823,TCU 1.200/2014,Acórdão 1200/2014-TCU-Plenário — Relatório de Levantamento (TC 023.414/2013-8),capacidade-estatal,cadeira vencedora
f1c87c08-b06c-456d-a042-5b5aa955e7e4,TCU 2.569/2018,"Acórdão 2569/2018-TCU-Plenário — Relatório de Auditoria, SETIC (TC 030.236/2016-9)",capacidade-estatal,cadeira vencedora
b7439095-14e4-4375-ae9b-bf4942d00755,TCU 1.464/2019,"Acórdão 1464/2019-TCU-Plenário — Relatório de Auditoria, UFS (TC 019.523/2017-3)",capacidade-estatal,cadeira vencedora
(ausente),TCU 2.037/2019,,NAO ESTA NO ACERVO,aquisicao pendente
