dominio,subdominio,titulo,colecao,classificado_por,classificado_em
"","",10 Ways to Tell if Your President Is a Dictator,pessoal,"",""
"","",1808,pessoal,"",""
"","",1889,pessoal,"",""
"","",23 Things They Don't Tell You about Capitalism,pessoal,"",""
"","",A diplomacia na construção do Brasil: 1750-2016,pessoal,"",""
"","",A elite do atraso,pessoal,"",""
"","",After the Welfare State: You Can Get It Back,pessoal,"",""
"","",A Mathematician's Lament,pessoal,"",""
"","",Antifragile: Things That Gain from Disorder,pessoal,"",""
"","",Apresentação do PowerPoint,firma,"",""
"","",Aula 2: Variáveis Aleatórias Discretas e Contínuas e suas Principais Distribuições.,pessoal,"",""
"","",Bitcoin White Paper,pessoal,"",""
"","",Bright Minds and Dark Attitudes: Lower Cognitive Ability Predicts Greater Prejudice Through Right-Wing Ideology and Low Intergroup Contact,pessoal,"",""
"","",Diplomacia da ruptura,pessoal,"",""
"","",Economia — Manual do Candidato,pessoal,"",""
"","",Economics: The User's Guide — A Pelican Introduction,pessoal,"",""
"","",Fire and Fury,pessoal,"",""
"","",Fixing the Lower Back/Hip Complex,pessoal,"",""
"","",Fooled by Randomness,pessoal,"",""
"","",Fundamentação da Metafísica dos Costumes,pessoal,"",""
"","",Genghis: Birth of an Empire,pessoal,"",""
"","",Hegel como pensador conservador,pessoal,"",""
"","","História da Geografia — Geografia, Manual do Candidato",pessoal,"",""
"","",História das Relações Internacionais Contemporâneas: da sociedade internacional do século XIX à era da globalização,pessoal,"",""
"","",História do Brasil — Manual do Candidato,pessoal,"",""
"","",How to Win Friends and Influence People,pessoal,"",""
"","",Interdependence and Global Justice,pessoal,"",""
"","",Intermittent Fasting: Your Ultimate Guide,pessoal,"",""
"","",Introduction to Game Theory,pessoal,"",""
"","",Investment Valuation,pessoal,"",""
"","",Macunaíma,pessoal,"",""
"","",Manual de Redação Oficial e Diplomática do Itamaraty,pessoal,"",""
"","","Meditations: A New Translation, with an Introduction, by Gregory Hays",pessoal,"",""
"","",Noções de Direito e Direito Internacional — Manual do Candidato,pessoal,"",""
"","",Nonviolent Communication,firma,"",""
"","",O Corpo Fala,pessoal,"",""
"","","On the Concepts ""State"" and ""State Organs"" in Constitutional Law",pessoal,"",""
"","",Philosophical Investigations,pessoal,"",""
"","",Política Internacional,pessoal,"",""
"","",Por uma outra globalização: do pensamento único à consciência universal,pessoal,"",""
"","","Resumo de MORAES, Antonio Carlos Robert. Geografia: Pequena História Crítica",pessoal,"",""
"","",Sapiens: A Brief History of Humankind,pessoal,"",""
"","","Scale: The Universal Laws of Growth, Innovation, Sustainability and the Pace of Life",pessoal,"",""
"","","Structure, Sign, and Play in the Discourse of the Human Sciences",pessoal,"",""
"","",Teoria dos Direitos Fundamentais,firma,"",""
"","",The Black Swan: The Impact of the Highly Improbable,pessoal,"",""
"","",The Burnout Society,pessoal,"",""
"","",The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics,pessoal,"",""
"","",The End of the World is Just the Beginning,pessoal,"",""
"","",The State of Dark Data,firma,00000000-0000-0000-0000-000000000002,2026-08-08
"","",The Transparency Society,pessoal,"",""
"","",Tractatus Logico-Philosophicus,pessoal,"",""
"","",Valuation: como precificar ações,pessoal,"",""
arquiteturas,"",A documentation framework for architecture decisions,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",An Ontology-based Approach for Domain-driven Design of Microservice Architectures,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",A Philosophy of Software Design,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Building Event-Driven Microservices,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Building Microservices (2nd),firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Capturing and Using Software Architecture Knowledge for Architecture-Based Software Development,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Cartilha de Governança de Dados — Volume III: Papéis e Responsabilidades de Governança de Dados no Poder Executivo Federal,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Decreto nº 8.777/2016 — Política de Dados Abertos do Poder Executivo federal,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Designing Data-Intensive Applications,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"","Design Rules, Vol. 1",firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Documenting Architecture Decisions,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"","Domain-Driven Design in Software Development: A Systematic Literature Review on Implementation, Challenges, and Effectiveness",firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Enterprise Integration Patterns,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Foundational Principles of Enterprise Business Architecture Methodology,firma,00000000-0000-0000-0000-000000000000,2026-07-31
arquiteturas,"","Guia Prático de Gestão de Processos: gestão que simplifica, conecta e entrega — 2ª edição",firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Life beyond Distributed Transactions: an Apostate's Opinion,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"","Modelo de Maturidade de Dados (MMD) — Poder Executivo Federal, Versão 1.2",firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",No Silver Bullet: Essence and Accident in Software Engineering,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",On the criteria to be used in decomposing systems into modules,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"",Ontology of architectural design decisions in software-intensive systems,firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"","Systems thinking, systems practice",firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,"","Time, Clocks, and the Ordering of Events in a Distributed System",firma,00000000-0000-0000-0000-000000000002,2026-08-08
arquiteturas,arquitetura-dados,DAMA-DMBOK: Data Management Body of Knowledge,firma,00000000-0000-0000-0000-000000000000,2026-07-31
