obra_id,titulo,dominio_atual,subdominio_atual,especie,colecao
47d4d047-25cb-47c4-bf25-53718bcb35a6,Architecture Modernization,arquiteturas,design-dominios,livro,firma
acd7590d-e3f9-4282-a023-5c8c0f698bd4,Are Your Lights On?,arquiteturas,arquitetura-negocios,livro,firma
eae6db01-442c-4635-9cd7-0b5ad7a92f59,AWS Well-Architected Framework,arquiteturas,"",guia,firma
3c66afe9-b83f-4b6b-aafd-b4ea658d446d,BIZBOK Guide,arquiteturas,arquitetura-negocios,guia,firma
f7563ebc-191c-43ce-bbef-434ed84f8ca3,Clean Architecture: A Craftsman's Guide to Software Structure and Design,arquiteturas,arquitetura-software,livro,firma
6b8c4d0a-5daf-4ec2-b730-a4c4dd541b7e,Continuous Architecture in Practice,arquiteturas,arquitetura-software,livro,firma
520e656f-9d2e-4915-8c22-eb01089ba714,DAMA-DMBOK: Data Management Body of Knowledge,arquiteturas,arquitetura-dados,guia,firma
0fde1528-69b7-4742-a517-dc7ae81bed1c,Data Governance (2nd),arquiteturas,arquitetura-dados,livro,firma
0e7870fd-dc2a-46de-aa16-4097dc9b2263,Data Mesh,arquiteturas,arquitetura-dados,livro,firma
3cd24cc4-ad43-4bb0-b492-e9254689faa0,Domain-Driven Design,arquiteturas,design-dominios,livro,firma
def17e8f-95c1-431f-b64a-ef110235030e,Foundational Principles of Enterprise Business Architecture Methodology,arquiteturas,"",paper,firma
ea6739f1-d054-48b1-8558-2fde8c25429e,Fundamentals of Software Architecture (2025),arquiteturas,arquitetura-software,livro,firma
49b1a703-38c8-476a-888f-b1beb4b0c357,Implementing Domain-Driven Design,arquiteturas,design-dominios,livro,firma
778bfb3f-ba6e-42bd-b3c5-5fc193fea4f0,Learning Domain-Driven Design,arquiteturas,design-dominios,livro,firma
c40aee12-0586-4733-a2bc-a966e918a51c,Software Architecture in Practice (3rd Edition),arquiteturas,arquitetura-software,livro,firma
d4ca606e-d882-474a-8425-638a9a1ab144,Software Architecture Knowledge Management: Theory and Practice,arquiteturas,design-dominios,livro,firma
5d4556a3-9715-4988-b801-e819ad48f47d,"The TOGAF Standard, Version 9.2",arquiteturas,arquitetura-negocios,framework,firma
de20eac2-0bd8-499d-8bea-24321069a811,Absorptive Capacity: A New Perspective on Learning and Innovation,capacidade-estatal,"",livro,firma
1639b150-7c0c-4988-9a5c-b1eae3b6c9ef,Arcabouço TI BR V2,capacidade-estatal,governo-digital,levantamento,firma
2bd0cf75-de00-41ee-bdaf-c731ea657bbe,A Risk Practitioner's Guide to ISO 31000:2018,capacidade-estatal,"",relatorio,firma
da32f727-60a8-487a-bbaf-c591fcb834f4,Arqueologia SIAPE: Fita Espelho,capacidade-estatal,sistemas-apf,levantamento,firma
30e4b18f-df90-4b24-82e0-2a6320357ad2,Arqueologia SIAPE: Manual do Webservice,capacidade-estatal,sistemas-apf,guia,firma
84ee87ce-3cb8-4807-8c6e-33171aa8ed6e,Building State Capability,capacidade-estatal,"",livro,firma
778e6bfe-a448-4d61-b147-978421dd9088,Compliance Digital,capacidade-estatal,"",guia,firma
836bece0-7874-4ce5-8582-f04ac4b722e9,Compliance - Finance,capacidade-estatal,"",guia,firma
33619595-eb3d-4f44-a099-29b1da0273b5,Compliance - Investigações,capacidade-estatal,"",guia,firma
47a473b6-881d-43e7-8dfb-d1a77287885d,Compliance na América Latina,capacidade-estatal,"",guia,firma
7bc25168-90fd-492d-a020-dc953bf35731,Compliance - Pilares,capacidade-estatal,"",guia,firma
6cffaf57-5fbb-4efb-a64a-45046a3a015c,Compliance - Risk Assessment,capacidade-estatal,"",guia,firma
a25310a5-049f-490e-b0b1-6c82cd57f651,"Contratos, códigos e controle: a influência das big techs no Estado brasileiro",capacidade-estatal,governo-digital,paper,firma
8655f781-56d7-416d-8278-2a512bd67448,COSO ERM: Integrating with Strategy and Performance — Executive Summary,capacidade-estatal,"",relatorio,firma
